item	roi	word	surprisal	retrieval
7	1	ओए	0.21271	101.0
7	2	तुम	0.86437	123.30855296529043
7	3	सुन	0.18801	197.78527964379387
7	4	रहे	0.02244	123.30855296529046
7	5	थे	0.02244	244.5705592875878
7	6	ना	0.58937	218.64204918486348
7	7	।	0.01702	302.63781810151
15	1	हाँ	0.18068	101.0
15	2	सुन	0.19946	123.30855296529043
15	3	रहा	0.01308	123.30855296529043
15	4	था	0.01380	244.57055928758774
15	5	।	0.04738	280.16209745749734
23	1	अब	0.26177	51.0
23	2	क्या	0.14897	51.0
23	3	अपना	0.56886	196.6171059305808
23	4	सब	0.86897	51.0
23	5	रिकॉर्ड	2.32875	322.1980044095982
23	6	हो	0.14240	413.39389642511696
23	7	के	0.00331	123.30855296529035
23	8	हर	0.55492	101.0
23	9	जगह	0.35569	286.67690642031516
23	10	जाएगा	0.24631	305.5563526185538
23	11	क्या	0.81792	145.61710593058092
23	12	[laughter]	1.19810	200.05665267703785
23	13	।	0.05950	314.2020585748123
31	1	ठीक	0.37229	101.0
31	2	है	0.00345	123.30855296529043
31	3	।	0.00192	197.78527964379387
39	1	सीएनएन	0.72029	51.0
39	2	न्यूज़	0.80843	51.0
39	3	में	0.04769	123.30855296529043
39	4	आ	0.25264	464.0399441261915
39	5	जाएँगे	0.00447	123.30855296529046
39	6	हम	0.74037	101.0
39	7	लोग	0.87864	286.6769064203153
39	8	।	0.02477	228.2781763092769
47	1	[laughter]	0.86480	101.0
47	2	यश	0.93018	145.61710593058083
47	3	के	0.44550	123.30855296529043
47	4	बारे	0.91994	244.57055928758768
47	5	में	0.51820	353.92614755459056
47	6	बात	0.67460	150.9999999999999
47	7	करो	0.18029	332.19267995167274
47	8	।	0.02811	270.01783427125747
55	1	हाँ	0.18068	101.0
55	2	।	0.00491	123.30855296529043
63	1	[laughter]	0.86480	101.0
63	2	पब्लिक	0.53741	51.0
63	3	इन्फ़र्मेशन	1.31722	271.1980044095982
63	4	बनेगा	0.33833	215.2625742078709
63	5	।	0.02335	229.93204528992976
71	1	सो_आइ_गेस_दैट_दैट्स_बैड_न्यूज़	0.64106	51.0
71	2	।	0.90013	224.30855296529046
79	1	हाँ	0.18068	101.0
79	2	सीएनएन	0.62344	123.30855296529043
79	3	में	0.09648	123.30855296529043
79	4	[anonymized]	0.28653	263.29007342499136
79	5	।	0.01713	228.21006664275706
87	1	[anonymized]_टॉकिंग_अबाउट_क्यूट_चिक्स	0.35864	51.0
87	2	।	0.86197	224.30855296529046
95	1	[laughter]	0.86480	101.0
95	2	।	0.00914	123.30855296529043
103	1	नो	0.63026	101.0
103	2	।	0.00975	123.30855296529043
111	1	तो	0.36147	51.0
111	2	एनीवे	0.25340	51.0
111	3	।	0.53863	123.30855296529043
119	1	हाँ	0.40725	101.0
119	2	तो_ये_इस_वक्त	0.64407	51.0
119	3	आइ_मीन	0.85908	271.1980044095982
119	4	अ	0.86765	101.0
119	5	ये	0.95485	174.30855296529046
119	6	यश	0.66865	422.67697605475746
119	7	कहीं	1.46836	255.59831012702784
119	8	इंडी	1.21718	101.0
119	9	यूएसए	0.67084	643.2811527633755
119	10	आ	0.27014	294.8676323862501
119	11	रहा	0.01139	123.30855296529035
119	12	है	0.00962	244.57055928758746
119	13	कि	0.11173	101.0
119	14	नहीं	0.11067	51.0
119	15	आ	0.18942	634.9973685783543
119	16	रहा	0.00623	167.9256588958715
119	17	है	0.00730	355.90965628405274
119	18	।	0.16903	453.31765627081995
127	1	हाँ	0.18068	101.0
127	2	।	0.00491	123.30855296529043
135	1	हाँ	0.18068	101.0
135	2	आ	0.22071	123.30855296529043
135	3	रहा	0.01237	123.30855296529043
135	4	है	0.01001	244.57055928758774
135	5	।	0.06209	280.16209745749734
142	1	हील	0.35864	51.0
142	2	आ	1.16439	224.30855296529046
142	3	नवम्बर	0.85041	123.30855296529046
142	4	26	0.34881	197.78527964379384
142	5	को	0.23759	123.30855296529046
142	6	आएगा	0.09657	353.44795175125455
